AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
Doncaster-Sheffield (ex RAF Finningley,,ATIS,134.95,EGCN,178
DRAKE FLD,,CTAF,128,KFYV,179
DRAKE FLD,,TWR,128,KFYV,180
DRAYTON VALLEY INDUSTRIAL,,CTAF,122.8,CER3,181
Dublin,,Ground,121.8,EIDW,182
DUKE FLD,,APP,132.1,KEGI,183
DUNDO,,AFIS,118.3,FNDU,184
Dunolly,,CTAF,126.7,YDLL,185
DUPLIN CO,,APP,119.7,KDPL,186
DURANGO LA PLATA CO,,CTAF,122.8,KDRO,187
DUTCHESS CO,,Clearance delivery,121.8,KPOU,188
EAGLE CO RGNL,,AWOS,135.57,KEGE,189
EAKER FLD,,AWOS,124.17,KDUA,190
EASTLEIGH,,TWR,124.3,HKRE,191
Edinburgh,,Ground,121.75,EGPH,192
Edmonton City Centre (Blatchford Fld),,RDO,119.1,CYXD,193
EGLIN AFB,,Clearance delivery,127.7,KVPS,194
Eindhoven,,APP,124.52,EHEH,195
EISENHUTTENSTADT,,TWR,132.65,EDAE,196
EL LOA,,APP,120.9,SCCF,197
ELAZIG,,TWR,118.1,LTCA,198
Eldorado Intl,,APP,119.65,SKBO,199
ELEFSIS,,APP,129.55,LGEL,200
ELIZABETH CITY CGAS RGNL,,UNICOM,122.95,KECG,201
ELKHART MUNI,,UNICOM,122.95,KEKM,202
ELLINGTON FLD,,ATIS,135.57,KEFD,203
Elmira Corning Rgnl,,TWR,121.1,KELM,204
Emkaytee,,CTAF,127.1,YMKT,205
Eppley Afld,,TWR,132.1,KOMA,206
ERBIL INTL,,TWR,128.8,ORER,207
Erfurt,,TWR,123.22,EDDE,208
ERHAC,,ATIS,128.35,LTAT,209
ERHAC,,TWR,122.1,LTAT,210
Erie Intl Tom Ridge Fld,,ATIS,120.35,KERI,211
Erie Intl Tom Ridge Fld,,UNICOM,122.95,KERI,212
ERKILET,,TWR,122.1,LTAU,213
ES SENIA,,TWR,119.7,DAOO,214
ESENBOGA,,ATIS,123.6,LTAC,215
Essen Mulheim,,TWR,129.87,EDLE,216
Essex Co,,APP,127.6,KCDW,217
Eulo,,CTAF,126.7,YEUO,218
EUREKA,,CTAF,122.8,CYEU,219
EUREKA MUNI,,CTAF,122.9,13K,220
EVANSTON UINTA CO BURNS FLD,,ASOS,120,KEVW,221
EVANSVILLE RGNL,,ATIS,120.2,KEVV,222
EVANSVILLE RGNL,,UNICOM,122.95,KEVV,223
Evelyn Downs,,CTAF,126.7,YEYD,224
Executive,,UNICOM,122.95,KORL,225
Executive,,APP/DEP,124.8,KORL,226
EXETER,,TWR,119.8,EGTE,227
EXPRESSWAY AIRPARK,,UNICOM,123,12OK,228
F AND F AIRPARK INC,,UNICOM,122.8,NY25,229
FAIRBANKS INTL,,Ground,121.9,PAFA,230
FAIRBANKS INTL,,APP,118.6,PAFA,231
FAIRCHILD AFB,,APP/DEP,133.35,KSKA,232
Fairfield Co,,AWOS,119.07,KFDW,233
FAIRFIELD CO,,Clearance delivery,121.65,KFDW,234
FAIRFORD,,APP,122.1,EGVA,235
FAIRMONT MUNI,,CTAF,122.8,KFRM,236
Fairview,,CTAF,122.8,3MD4,237
FALCON FLD,,ATIS,118.25,KFFZ,238
FALCON FLD,,UNICOM,122.95,KFFZ,239
FALCONARA,,TWR,119.8,LIPY,240
FALCONHEAD,,CTAF,122.9,37K,241
FARIBAULT MUNI,,CTAF,122.8,KFBL,242
Faro,,ATIS,124.2,CZFA,243
FASSBERG,,APP,122.42,ETHS,244
FAUVILLE,,TWR,122.1,LFOE,245
FAYETTE CO,,AWOS,118.77,I23,246
FAYETTE CO,,APP/DEP,132.3,I23,247
FAYETTE COUNTY,,DEP,124.15,KFYE,248
FAYETTEVILLE MUNI,,AWOS,135.27,KFYM,249
FAYETTEVILLE MUNI,,APP/DEP,125.6,KFYM,250
Fayetteville Rgnl Grannis Fld,,APP,121.7,KFAY,251
FELKER AAF,,TWR,126.3,KFAF,252
Felts Fld,,TWR,132.5,KSFF,253
Fentress Nalf,,Clearance delivery,118.5,KNFE,254
Fentress Nalf,,TWR,120.8,KNFE,255
FERNANDINA BEACH MUNI,,APP/DEP,127,55J,256
Fernando De Noronha,,RDO,125.9,SBFN,257
FILLMORE CO,,CTAF,122.9,KFKA,258
FINGER LAKES RGNL,,APP,119.55,0G7,259
FIREBAUGH,,CTAF,122.9,F34,260
Firenze,,APP,122.1,LIRQ,261
First Flight,,CTAF,122.9,KFFA,262
FITCH H BEACH,,APP/DEP,118.65,KFPK,263
FITZGERALD MUNI,,CTAF,123,KFZG,264
FLAGLER CO,,APP/DEP,125.8,X47,265
Flagstaff Pulliam,,UNICOM,122.95,KFLG,266
Flagstaff Pulliam,,TWR,134.55,KFLG,267
FLANDREAU MUNI,,CTAF,122.9,4P3,268
FLAT TOP RANCH,,UNICOM,122.72,74TE,269
FLEMING MASON,,AWOS,118.12,KFGX,270
FLETCHER FLD,,AWOS,120.67,KCKM,271
FLORALA MUNI,,CTAF,123,0J4,272
FLORENCE RGNL,,APP,135.25,KFLO,273
Florennes,,APP,122.5,EBFS,274
FLORO,,AFIS,119.2,ENFL,275
FLOYD BENNETT MEM,,CTAF,123,KGFL,276
FLOYD W JONES LEBANON,,AWOS,118.97,KLBO,277
FLOYD W JONES LEBANON,,APP/DEP,121.1,KLBO,278
FLOYDADA MUNI,,CTAF,122.8,41F,279
Flying Cloud,,ATIS,124.9,KFCM,280
Flying Cloud,,UNICOM,122.95,KFCM,281
Flying Cloud,,Ground,121.7,KFCM,282
Flying Cloud,,APP/DEP,125,KFCM,283
FLYING V,,CTAF,122.9,71XS,284
FLYING W,,CTAF,121.72,TE08,285
FLYING W,,APP/DEP,124.15,TE08,286
FOARD CO,,CTAF,122.9,8F4,287
FOLEY MUNI,,APP/DEP,118.6,5R4,288
FOLLETT LIPSCOMB CO,,CNTR,126.95,T93,289
FOLSOM FLD,,AWOS,124.17,3A1,290
FOLSOM FLD,,APP/DEP,118.05,3A1,291
Fond Du Lac Co,,CTAF,122.8,KFLD,292
FOOTHILLS RGNL,,CTAF,122.7,KMRN,293
Forbes,,CTAF,126.7,YFBS,294
FORBES FLD,,ATIS,128.25,KFOE,295
FORBES FLD,,Ground,121.7,KFOE,296
FORBES FLD,,CNTR,123.8,KFOE,297
