Make,Model,Horsepower,WeightEmpty,FuelCapacity,WeightGross,SpeedTop,SpeedCruise,SpeedStall,Range,TakeoffGroundRoll,LandingGroundRoll,Takeoff50ftObst,Landing50ftObst,RateOfClimb,RateOfClimbSingle,Ceiling,CeilingSingle,FuelBurn,Id
Cessna,172 C,145,1330,42,2250,121,114,43,515,900,600,1450,1200,675,,14200,,,151
Cessna,172 I Skyhawk,150,1300,42,2300,122,115,43,515,865,520,1525,1250,645,,13100,,,152
Cessna,172 K & L float plane,150,1405,42,2220,94,92,45,418,1620,590,2390,1345,580,,12000,,,153
Cessna,172 K & L Skyhawk,150,1315,42,2300,122,115,43,417,865,520,1525,1250,645,,13100,,,154
Cessna,172 M (float plane 1973),150,1450,42,2220,94,92,45,435,1620,590,2390,1345,580,,12000,,,155
Cessna,172 M (Float Plane 1974-76),150,1574,42,2220,98,97,44,435,1620,590,2390,1345,715,,12000,,,156
Cessna,172 M Skyhawk,150,1335,42,2300,122,115,44,435,865,520,1525,1250,645,,13100,,,157
Cessna,172 M Skyhawk (1976),150,1335,42,2300,126,119,44,435,865,520,1525,1250,645,,13100,,,158
Cessna,172 P II Skyhawk,160,1454,43,2400,123,120,46,440,890,540,1625,1280,700,,13000,,,159
Cessna,172 Q Cutlass,180,1480,54,2550,123,122,48,475,960,575,1690,1335,680,,17000,,,160
Cessna,172 RG II Cutlass,180,1627,66,2650,144,140,50,720,1060,625,1775,1340,800,,16800,,,161
Cessna,172,-A,145,1260,37,2200,117,108,50,420,950,600,1650,1115,660,,13300,,,162
Cessna,172,-D,-E,-F,-G,-H,145,1330,42,2300,121,114,43,515,865,520,1525,1250,645,,13100,,,163
Cessna,172N-P/Hawk 100 (float plane 1978 & up),160,1632,43,2220,96,95,44,440,1400,590,2160,1345,740,,15000,,,164
Cessna,172N/Hawk 100 (1977),160,1430,43,2300,124,122,44,440,820,520,1390,1250,770,,14200,,,165
Cessna,175 C,175,1325,52,2450,123,118,56,589,835,690,1450,1170,790,,14500,,,166
Cessna,175,-A,-B,175,1312,52,2350,128,121,54,593,735,590,1340,1155,850,,15900,,,167
Cessna,177 A Cardinal,180,1440,49,2500,130,120,49,410,845,435,1575,1220,760,,15800,,,168
Cessna,177 Cardinal,150,1415,49,2350,125,117,46,591,845,400,1575,1135,670,,12700,,,169
Cessna,177 RG Cardinal,200,1630,51,2800,153,144,50,506,890,730,1585,1350,860,,16900,,,170
Cessna,180,225,1540,55,2550,144,137,51,513,610,450,1095,1310,1110,,21200,,,171
Cessna,180 A,-B,-C,-D,-E,-F,230,1555,55,2650,148,139,54,513,615,460,1080,1330,1130,,21500,,,172
Cessna,180 G,-H,230,1525,65,2800,148,141,50,622,625,480,1205,1365,1090,,19600,,,173
Cessna,180J,230,1701,88,2800,148,141,48,804,625,480,1205,1365,1100,,19600,,,174
Cessna,180J,K (float)(mg w/80),230,1955,61,2950,137,123,48,804,1280,735,2070,1720,990,,16000,,,175
Cessna,180J,K (ski) (after 1979),230,1790,88,2800,137,123,48,804,0,0,,,910,,14700,,,176
Cessna,180J,K (ski) (prior to 79),230,1790,88,2800,137,123,48,804,0,0,,,910,,15600,,,177
Cessna,180K,230,1701,88,2800,148,141,48,804,625,480,1205,1365,1100,,17700,,,178
Cessna,182,230,1540,55,2550,143,135,54,443,620,610,1020,1290,1120,,20100,,,179
Cessna,182 A,B,C,D,230,1560,55,2650,148,141,54,450,620,610,1080,1310,1030,,19800,,,180
Cessna,182 E,F,G,H,230,1610,65,2800,148,141,48,550,625,590,1205,1350,980,,18900,,,181
Cessna,182 J,K,L,M Skylane,230,1620,65,2800,148,141,48,550,625,590,1205,1350,980,,18900,,,182
Cessna,182 N Skylane,230,1640,65,2950,146,139,50,550,705,590,1350,1350,890,,17700,,,183
Cessna,182Q II (1981 & up),230,1775,92,3100,146,142,49,817,805,590,1515,1350,865,,14900,,,184
Cessna,185 A,B,C,D Skywagon,260,1520,65,3200,153,145,54,561,650,610,1510,1265,1000,,17300,,,185
Cessna,185 E Skywagon,300,1560,65,3300,153,145,54,470,725,625,1290,1285,950,,16900,,,186
Cessna,185 F Amph (water) (prior to 1979),300,2253,88,3100,136,130,50,500,1125,775,1710,1480,950,,16100,,,187
Cessna,188 AG Pickup Fixed-Prop (1972) restricted,230,1835,37,3800,94,83,50,204,1040,420,1740,1265,460,,7700,,,188
Cessna,188 AG Pickup Fixed-prop (1973-75) restricted,230,1900,37,3800,91,78,50,204,1120,420,1920,1265,400,,6500,,,189
Cessna,188A,B AG Wagon(1967-71) fixed-prop, Normal,230,1815,37,3300,103,101,50,204,845,420,1365,1265,710,,13000,,,190
Cessna,190,240,2015,80,3350,153,139,56,610,0,0,1670,1495,1090,,16000,,,191
Cessna,195,300,2050,80,3350,157,148,55,600,0,0,1670,1495,1090,,16000,,,192
Cessna,195 B,275,2050,80,3350,152,143,54,583,0,0,1605,1495,1135,,16250,,,193
Cessna,195A,245,2030,80,3350,153,139,56,603,0,0,1670,1495,1050,,16000,,,194
Cessna,205-A,260,1750,65,3300,145,138,50,515,685,625,1465,1510,965,,16100,,,195
Cessna,206, U 206 Super Skywagon,285,1760,65,3300,154,144,52,563,675,735,1265,1340,1075,,16700,,,196
Cessna,206C,D,Float Skywagon,300,2060,65,3500,136,131,,510,1445,695,2475,1570,855,,13900,,,197
Cessna,207, All, Skywagn & Stationair 7& 8,300,2177,61,3800,150,143,59,612,1100,765,1970,1500,810,,13300,,,198
Cessna,210 A Two Ten,260,1740,65,2900,173,165,51,700,620,750,1135,1190,1300,,20700,,,199
Cessna,210 B,C Two Ten,260,1780,65,3000,170,160,52,680,625,725,1210,1110,1270,,20300,,,200
Cessna,210 D & E Centurion,285,1860,65,3100,173,166,53,640,590,700,1110,1275,1210,,21000,,,201
Cessna,210 F Centurion,285,1865,65,3300,172,165,54,640,675,735,1265,1340,1115,,19900,,,202
Cessna,210 G, H & J, K, L Centurion,285,1960,90,3400,174,167,55,760,800,625,1365,1355,1000,,18300,,,203
Cessna,210 M,NII,300,2219,90,3800,174,170,57,600,1250,765,2030,1500,950,,17300,,,204
Cessna,210 M,NII (prior to 1978),300,2219,90,3800,174,170,57,600,1250,765,2030,1500,860,,17300,,,205
Cessna,310 F,-G (fuel inj.),260,3049,102,4990,210,191,73,678,1120,1265,1395,1720,1800,375,21300,7450,,206
Cessna,310 H (fuel inj.),260,3063,102,5100,209,194,65,687,1920,690,1545,1900,1690,380,21100,7450,,207
Cessna,310 I, J (fuel inj.),260,3094,102,5100,207,194,65,687,1385,960,1640,1540,1590,360,20300,7500,,208
Cessna,310 P,260,3170,102,5200,206,193,62,676,1451,558,1716,1673,1540,330,19900,6850,,209
Cessna,310 Q,260,3214,102,5300,205,192,63,680,1519,582,1795,1697,1495,327,19500,6680,,210
Cessna,310 R, II,285,3603,102,5500,207,194,70,661,1335,640,1700,1790,1662,370,19750,7400,,211
Cessna,310,-A,240,2850,102,4600,191,178,71,640,1120,1285,1375,1710,1700,380,19500,7250,,212
Cessna,310K,L,N (fuel inj.),260,3125,102,5200,206,193,65,676,1451,1002,1716,1582,1540,330,19900,6850,,213
Cessna,320 A-B-C Skyknight turbocharged,260,3260,102,5200,229,213,63,735,1050,640,1584,1910,1820,450,28100,16600,,214
Cessna,320 Skyknight turbocharged,260,3190,102,4990,230,204,68,740,870,640,1890,2056,1820,400,28100,16600,,215
Cessna,320D Skyknight turbocharged,285,3273,102,5200,239,226,64,735,1190,614,1515,1734,1924,475,29000,18800,,216
Cessna,320E-F, Skyknight turbocharged,285,3273,102,5300,239,226,64,735,1190,614,1515,1734,1924,475,29000,18800,,217
Cessna,335 II  nonpressurized/turbocharged,300,3963,102,5990,230,215,71,928,1850,770,2365,1850,1400,200,26800,11500,,218
Cessna,336 Skymaster fixed-gear,210,2320,93,3900,159,150,52,880,790,575,1145,1395,1300,370,19000,8200,,219
Cessna,337 B Skymaster,210,2615,93,4300,174,167,57,922,845,590,1490,1500,1250,335,20000,7500,,220
Cessna,337 C Skymaster,210,2650,93,4400,173,166,58,922,895,600,1545,1520,1200,300,19500,6800,,221
Cessna,337 D Skymaster,210,2655,93,4400,173,166,60,920,895,700,1545,1650,1200,300,19500,6800,,222
Cessna,337 E Skymaster,210,2660,93,4440,173,166,60,922,910,700,1565,1650,1180,285,19300,6500,,223
Cessna,337 F Skymaster,210,2695,93,4630,173,165,61,920,1000,700,1675,1650,1100,235,18000,5100,,224
Cessna,337 G, H II Skymaster,210,2925,90,4630,172,169,61,1139,1000,700,1675,1650,940,300,16300,6900,,225
Cessna,337 G, H II Skymaster (prior to 1979),210,2925,90,4630,172,169,61,1139,1000,700,1675,1650,940,300,18000,6900,,226
Cessna,337,-A, Skymaster,210,2615,93,4200,174,167,55,922,805,757,1435,1465,1200,360,20500,8200,,227
Cessna,340 A, II pressurized/turbocharged,310,4184,102,5990,243,229,71,1106,1615,770,2175,1850,1650,315,29800,15800,,228
Cessna,340 pressurized/turbocharged,285,3730,102,5975,226,210,71,1258,1760,765,2430,1840,1500,250,26500,12100,,229
Cessna,401-A &B turbocharged,300,3674,102,6300,227,209,69,1102,1695,777,2220,1765,1610,255,26180,11700,,230
Cessna,402-A turbocharged,300,3719,102,6300,227,209,69,833,1695,777,2220,1765,1610,225,26180,11320,,231
Cessna,402B, Business Liner,300,4038,102,6300,229,210,70,1180,1695,777,2220,1765,1610,225,26180,11320,,232
Cessna,402C Business Liner II,325,4238,213,6850,230,213,68,875,1763,1055,2195,2485,1450,301,26900,14800,,233
Cessna,404 Titan Ambassador II,375,4965,348,8400,232,217,70,553,1788,1100,2367,2130,1575,230,26000,10100,,234
Cessna,411, A, turbocharged,340,3865,175,6500,231,214,72,908,1560,1240,2010,1851,1900,320,26000,13000,,235
Cessna,414 pressurized-turbocharged,310,4039,102,6350,239,224,70,1090,1695,805,2350,1865,1580,240,30100,11350,,236
Cessna,414A II Chancellor (press-Turbocharged),310,4543,213,6750,235,224,72,1099,2185,1013,2595,2393,1520,290,30800,19850,,237
Cessna,421 - A & B,375,4252,175,6840,240,227,76,826,2012,1045,2516,2110,1700,300,26000,13340,,238
