AirportName,CreateDate,RunwayNumber,RunwayLength,RunwayWidth,RunwaySurface,Designator,Id
LAS DELICIAS,2008-04-30 14:24:00,01/19,3390,50,Asphalt,MM77,14216
Laughlin AFB,2008-04-30 14:24:00,13R/31L,6239,150,Asphalt,KDLF,14217
Laurens Skyways,2008-04-30 14:24:00,18/36,2391,135,Turf or Grass,5K5,14218
Lawlor-Justus,2008-04-30 14:24:00,01/19,1801,50,Turf or Grass,9MO3,14219
Le Blanc,2008-04-30 14:24:00,04L/22R,2626,66,Asphalt,LFEL,14220
Le Castellet,2008-04-30 14:24:00,H4,46,46,Asphalt,LFMQ,14221
Le Plessis Belleville,2008-04-30 14:24:00,25L/07R,2626,197,Turf or Grass,LFPP,14222
Le Touquet Paris Plage,2008-04-30 14:24:00,14/32,6055,131,Asphalt,LFAT,14223
Le Versoud,2008-04-30 14:24:00,04L/22R,2920,196,Turf or Grass,LFLG,14224
Leader,2008-04-30 14:24:00,09/27,2990,75,Asphalt,CJD5,14225
Leavitt,2008-04-30 14:24:00,10/28,2001,40,Gravel,NH38,14226
Ledden Farm,2008-04-30 14:24:00,10/28,2001,80,Turf or Grass,61NJ,14227
LEICESTER,2008-04-30 14:24:00,16/34,1332,98,Turf or Grass,EGBG,14228
Lembudud (Pertamina),2008-04-30 14:24:00,03/21,1801,66,Dirt,WZ67,14229
Lemont Industrial Park,2008-04-30 14:24:00,18/36,2902,50,Asphalt,2IS0,14230
Lenzner Farm,2008-04-30 14:24:00,15/33,1501,75,Turf or Grass,7PS7,14231
Leon M Ba,2008-04-30 14:24:00,16/34,9886,148,Asphalt,FOOL,14232
Lerchs,2008-04-30 14:24:00,17/35,2201,100,Turf or Grass,7C0,14233
Lester B Pearson Intl,2008-04-30 14:24:00,06R/24L,8993,200,Asphalt,CYYZ,14234
Lesterson Field,2008-04-30 14:24:00,36/18,3002,100,Turf or Grass,0MI4,14235
LETHBRIDGE,2008-04-30 14:24:00,05/23,6410,200,Asphalt,CYQL,14236
Lethbridge,2008-04-30 14:24:00,10/28,3610,100,Turf or Grass,CYQL,14237
Leuchars,2008-04-30 14:24:00,09/27,8462,150,Asphalt,EGQL,14238
Leuth Flying Service,2008-04-30 14:24:00,09/27,3302,40,Turf or Grass,21M,14239
LEUTKIRCH UNTERZEIL,2008-04-30 14:24:00,06/24,3322,66,Asphalt,EDNL,14240
Levelock,2008-04-30 14:24:00,11/29,1901,45,Gravel,9Z8,14241
Lewis Airfield,2008-04-30 14:24:00,18/36,2702,80,Turf or Grass,70IN,14242
Lewis Airstrip,2008-04-30 14:24:00,10/28,1701,40,Turf or Grass,7NC7,14243
Lewis Landing,2008-04-30 14:24:00,08/26,2201,50,Turf or Grass,NK79,14244
Lewis Ranch,2008-04-30 14:24:00,11/29,3152,200,Turf or Grass,T13,14245
LEWIS RANCH,2008-04-30 14:24:00,17/35,4816,60,Asphalt,T13,14246
Lewisport,2008-04-30 14:24:00,36/18,1201,100,Turf or Grass,PN86,14247
Lexington Blue Grass,2008-04-30 14:24:00,04/22,7002,150,Asphalt,KLEX,14248
Lexington County,2008-04-30 14:24:00,11/29,3352,90,Turf or Grass,7J1,14249
LEXINGTON MUNI,2008-04-30 14:24:00,13/31,3066,125,Dirt,4K3,14250
LEXINGTON MUNI,2008-04-30 14:24:00,18/36,2256,125,Dirt,4K3,14251
Liberal Muni,2008-04-30 14:24:00,03/21,5718,150,Concrete,KLBL,14252
Liberty Airpark,2008-04-30 14:24:00,02/20,2476,60,Turf or Grass,7D6,14253
LIBERTY CASEY CO,2008-04-30 14:24:00,01/19,3005,60,Asphalt,I53,14254
LIBERTY CO,2008-04-30 14:24:00,07/25,4583,75,Asphalt,2J2,14255
LICENCIADO MANUEL CRESCENCIO REJON INT,2008-04-30 14:24:00,10/28,10495,151,Asphalt,MMMD,14256
LICHINGA,2008-04-30 14:24:00,08/26,8287,148,Asphalt,FQLC,14257
Lida Junction,2008-04-30 14:24:00,18/36,6454,80,Dirt,0L4,14258
Lidgerwood Municipal,2008-04-30 14:24:00,17/35,2602,100,Turf or Grass,4N4,14259
LIDKOPING,2008-04-30 14:24:00,06/24,6509,148,Asphalt,ESGL,14260
Liechty Farm,2008-04-30 14:24:00,12/30,2802,60,Turf or Grass,8NA5,14261
Liege,2008-04-30 14:24:00,05R/23L,10789,148,Asphalt,EBLG,14262
Light Plane Flyers Airfield,2008-04-30 14:24:00,18/36,1335,75,Turf or Grass,LS36,14263
LIHUE,2008-04-30 14:24:00,17/35,6527,150,Asphalt,PHLI,14264
Likely,2008-04-30 14:24:00,06/24,1961,50,Gravel,S57,14265
Lil Bird,2008-04-30 14:24:00,18/36,1301,60,Turf or Grass,SN68,14266
Lille Marcq en Baroeul,2008-04-30 14:24:00,36/18,2790,262,Turf or Grass,LFQO,14267
Lillibridge Airstrip,2008-04-30 14:24:00,12/30,2001,60,Turf or Grass,NA62,14268
LILONGWE,2008-04-30 14:24:00,17/35,4638,134,Turf or Grass,FWLE,14269
Lilydale,2008-04-30 14:24:00,18R/36L,3202,100,Dirt,YLIL,14270
LINCOLN,2008-04-30 14:24:00,14/32,8649,150,Asphalt,S69,14271
Lincoln Farm,2008-04-30 14:24:00,03/21,1701,60,Turf or Grass,21KY,14272
Lincoln Municipal,2008-04-30 14:24:00,02/20,2702,130,Turf or Grass,K71,14273
Lincoln Park,2008-04-30 14:24:00,01/19,2986,40,Asphalt,N07,14274
LINCOLN RGNL,2008-04-30 14:24:00,17/35,2799,75,Asphalt,KLRG,14275
Lincolns Field,2008-04-30 14:24:00,16/34,1641,85,Turf or Grass,5U9,14276
Lindeys Landing,2008-04-30 14:24:00,04/22,10006,2600,Water,5MN7,14277
Lindholmen,2008-04-30 14:24:00,06/24,2001,165,Turf or Grass,ES04,14278
Lindrith Airpark,2008-04-30 14:24:00,07/25,3302,75,Dirt,E32,14279
Lindsay,2008-04-30 14:24:00,10/28,1751,100,Turf or Grass,PN25,14280
Lindsay,2008-04-30 14:24:00,13/31,3498,75,Asphalt,PN25,14281
Lindseth Strip,2008-04-30 14:24:00,09/27,2001,50,Turf or Grass,ND82,14282
Linkoping Malmen,2008-04-30 14:24:00,01/19,7251,115,Asphalt,ESCF,14283
LINS,2008-04-30 14:24:00,14/32,5647,105,Asphalt,SBLN,14284
Linton On Ouse,2008-04-30 14:24:00,10/28,4377,150,Asphalt,EGXU,14285
Linz Hoersching,2008-04-30 14:24:00,09/27,9799,197,Asphalt,LOWL,14286
Lisboa,2008-04-30 14:24:00,17/35,7919,148,Asphalt,LPPT,14287
LISBON MUNI,2008-04-30 14:24:00,14/32,3048,50,Asphalt,6L3,14288
LISHE,2008-04-30 14:24:00,13/31,10502,148,Concrete,ZSNB,14289
Lismore,2008-04-30 14:24:00,15/33,5451,98,Asphalt,YLSM,14290
LITCHFIELD MUNI,2008-04-30 14:24:00,09/27,3890,75,Asphalt,KLJF,14291
Little Bear Lake,2008-04-30 14:24:00,02/20,2201,40,Dirt,CKL6,14292
Little Britain,2008-04-30 14:24:00,10/28,1801,100,Turf or Grass,81W,14293
Little Buffalo Ranch,2008-04-30 14:24:00,05L/23R,4703,60,Turf or Grass,WY13,14294
Little Buffalo Ranch,2008-04-30 14:24:00,32/14,2001,60,Turf or Grass,WY13,14295
Little Buttes Antique Airfield,2008-04-30 14:24:00,06/24,2902,80,Turf or Grass,1CL1,14296
LITTLE FALLS MORRISON CO,2008-04-30 14:24:00,18/36,3040,170,Turf or Grass,KLXL,14297
Little Gransden,2008-04-30 14:24:00,12/30,2119,92,Turf or Grass,EGMJ,14298
Little Gransden,2008-04-30 14:24:00,03/21,1351,60,Turf or Grass,EGMJ,14299
Little Hands,2008-04-30 14:24:00,18/36,1321,50,Dirt,59CA,14300
Little Peach,2008-04-30 14:24:00,15/33,1601,50,Turf or Grass,TS92,14301
Little Pecan Island,2008-04-30 14:24:00,32/14,3002,70,Turf or Grass,3LA4,14302
Little River,2008-04-30 14:24:00,09/27,2752,60,Turf or Grass,FL10,14303
Little River,2008-04-30 14:24:00,11/29,5211,150,Asphalt,FL10,14304
Little Rock Adams Field,2008-04-30 14:24:00,18/36,5135,150,Concrete,KLIT,14305
LITTLE ROCK AFB,2008-04-30 14:24:00,07/25,11979,200,Concrete,KLRF,14306
Little Wheel Field,2008-04-30 14:24:00,06/24,2001,80,Turf or Grass,59WI,14307
LITTLEBROOK AIR PARK,2008-04-30 14:24:00,12/30,2573,50,Asphalt,3B4,14308
Littlefork Municipal Hanover,2008-04-30 14:24:00,09/27,3002,150,Turf or Grass,13Y,14309
Live Oak Landing Strip,2008-04-30 14:24:00,09/27,5003,250,Turf or Grass,LA60,14310
Livengood Camp,2008-04-30 14:24:00,15/33,1415,50,Gravel,4AK2,14311
LIVERMORE MUNI,2008-04-30 14:24:00,07L/25R,5239,100,Asphalt,KLVK,14312
LIVERPOOL SOUTH SHORE RGNL,2008-04-30 14:24:00,07/25,3930,75,Asphalt,CYAU,14313
Livingston Bay,2008-04-30 14:24:00,03/21,1751,30,Turf or Grass,14WA,14314
LIVINGSTON CO SPENCER J HARDY,2008-04-30 14:24:00,13/31,4996,100,Asphalt,KOZW,14315
LIVINGSTONE,2008-04-30 14:24:00,15/33,4532,98,Asphalt,FLLI,14316
LJUBLJANA,2008-04-30 14:24:00,13/31,10808,148,Asphalt,LJLJ,14317
LJUNGBYHED,2008-04-30 14:24:00,11L/29R,6575,131,Asphalt,ESTL,14318
Ljusdal Forsnaset,2008-04-30 14:24:00,09/27,2035,115,Turf or Grass,ESUL,14319
LLANBEDR,2008-04-30 14:24:00,05/23,4319,151,Asphalt,EGOD,14320
LLANO MUNI,2008-04-30 14:24:00,17/35,4214,75,Asphalt,KAQO,14321
Lloyds Landing,2008-04-30 14:24:00,06/24,2301,90,Dirt,33CA,14322
Loanda,2008-04-30 14:24:00,05/23,3617,75,Asphalt,SSLO,14323
Loani,2008-04-30 14:24:00,23/05,2602,80,Turf or Grass,LNQ,14324
Locarno,2008-04-30 14:24:00,08R/26L,2297,98,Asphalt,LSZL,14325
LOCHRIDGE RANCH,2008-04-30 14:24:00,17/35,4939,60,Asphalt,TX25,14326
Lock,2008-04-30 14:24:00,25/07,3552,100,Dirt,YLOK,14327
Locker Brothers,2008-04-30 14:24:00,08/26,3102,20,Gravel,T37,14328
Lockeridge,2008-04-30 14:24:00,18/36,1701,150,Turf or Grass,OI58,14329
LODI,2008-04-30 14:24:00,12/30,2064,26,Asphalt,1O3,14330
Lodi Airpark,2008-04-30 14:24:00,07/25,2706,22,Asphalt,Q80,14331
Lodi Lakeland,2008-04-30 14:24:00,09/27,1875,105,Turf or Grass,C76,14332
Lodrino,2008-04-30 14:24:00,34/16,2892,130,Asphalt,LSML,14333
LODWAR,2008-04-30 14:24:00,09R/27L,3293,64,Asphalt,HKLO,14334
Loei,2008-04-30 14:24:00,01/19,6933,148,Asphalt,VTUL,14335
Loesch Ranch,2008-04-30 14:24:00,17/35,4203,75,Turf or Grass,TS78,14336
Lofty Redwoods,2008-04-30 14:24:00,13/31,3202,60,Asphalt,Q02,14337
Log Cabin,2008-04-30 14:24:00,09/27,1301,75,Turf or Grass,WS69,14338
LOGAN CACHE,2008-04-30 14:24:00,17/35,9103,98,Asphalt,KLGU,14339
LOGAN CO,2008-04-30 14:24:00,14/32,3003,135,Turf or Grass,KAAA,14340
Loggy Bayou Plantation,2008-04-30 14:24:00,18/36,2602,100,Turf or Grass,04LA,14341
Loghouse STOL,2008-04-30 14:24:00,12/30,1601,30,Turf or Grass,TE38,14342
Lognes emerainville,2008-04-30 14:24:00,26L/08R,3610,328,Turf or Grass,LFPL,14343
Lognes emerainville,2008-04-30 14:24:00,26R/08L,2347,136,Asphalt,LFPL,14344
LOGOVARDI,2008-04-30 14:24:00,17R/35L,994,60,Concrete,LW74,14345
Logrono,2008-04-30 14:24:00,11/29,6549,148,Asphalt,LERJ,14346
Logsdon Ranch,2008-04-30 14:24:00,17/35,1351,75,Turf or Grass,OK43,14347
Lokok (MAF),2008-04-30 14:24:00,13/31,1601,82,Turf or Grass,WZ70,14348
Lola Landing,2008-04-30 14:24:00,36/18,1501,100,Turf or Grass,36GA,14349
LOLLAND FALSTER MARIBO,2008-04-30 14:24:00,10/28,3923,98,Asphalt,EKMB,14350
Lollars Creek Farm,2008-04-30 14:24:00,16/34,2101,45,Turf or Grass,AR27,14351
Lom Sak,2008-04-30 14:24:00,01/19,3274,98,Asphalt,VTPL,14352
Loma Madera Ranch,2008-04-30 14:24:00,06/24,2301,40,Asphalt,25CA,14353
Lomax Station,2008-04-30 14:24:00,01/19,2001,150,Turf or Grass,IN26,14354
Lometa Air Strip,2008-04-30 14:24:00,17/35,2291,110,Turf or Grass,7R0,14355
Lommis,2008-04-30 14:24:00,07/25,2402,90,Asphalt,LSZT,14356
LONCOPUE,2008-04-30 14:24:00,09/27,5247,98,Asphalt,SA18,14357
LAWRENCE CO,2008-04-30 14:24:00,13/31,4997,150,Concrete,9A4,14358
Lawsons Plains,2008-04-30 14:24:00,04/22,3283,131,Dirt,YLPS,14359
Layne,2008-04-30 14:24:00,18/36,2201,100,Turf or Grass,5II1,14360
Le Mans Arnage,2008-04-30 14:24:00,02/20,4656,98,Asphalt,LFRM,14361
Le Tube AB,2008-04-30 14:24:00,H13,66,66,Concrete,LFMI,14362
LEA CO RGNL,2008-04-30 14:24:00,17/35,5011,100,Asphalt,KHOB,14363
Lea County Tatum,2008-04-30 14:24:00,12/30,2922,60,Asphalt,E07,14364
Leask,2008-04-30 14:24:00,08/26,2141,70,Turf or Grass,CJH8,14365
LEBANON MUNI,2008-04-30 14:24:00,18/36,5203,100,Asphalt,M54,14366
LEE CREEK,2008-04-30 14:24:00,08/26,5802,75,Asphalt,NC12,14367
Lee Massey,2008-04-30 14:24:00,07/25,1301,150,Turf or Grass,WV01,14368
LEEDS MUNI,2008-04-30 14:24:00,09/27,2991,50,Asphalt,D31,14369
Leeuwarden,2008-04-30 14:24:00,09/27,6552,164,Asphalt,EHLW,14370
LEH,2008-04-30 14:24:00,06/24,428,85,Asphalt,VILH,14371
Lehman,2008-04-30 14:24:00,16/34,1811,100,Turf or Grass,28TX,14372
LEIRIN,2008-04-30 14:24:00,15/33,6705,148,Asphalt,ENFG,14373
Leknes,2008-04-30 14:24:00,03/21,2882,98,Asphalt,ENLK,14374
LEMMON MUNI,2008-04-30 14:24:00,17/35,1901,60,Turf or Grass,KLEM,14375
Lenawee Co,2008-04-30 14:24:00,11/29,1806,150,Turf or Grass,KADG,14376
LENKORAN,2008-04-30 14:24:00,13/31,5180,132,Asphalt,UB10,14377
Leon,2008-04-30 14:24:00,06/24,3601,328,Dirt,WV30,14378
Leopoldsdorf,2008-04-30 14:24:00,13/31,1575,98,Turf or Grass,LOAL,14379
Les Milles,2008-04-30 14:24:00,H9,30,30,Asphalt,LFMA,14380
LETHEM,2008-04-30 14:24:00,07/25,5982,98,Asphalt,SYLT,14381
LEWIS CO RGNL,2008-04-30 14:24:00,18/36,3504,60,Concrete,6M6,14382
Lewiston Nez Perce Co,2008-04-30 14:24:00,08/26,6492,150,Asphalt,KLWS,14383
Lewistown Muni,2008-04-30 14:24:00,02/20,5592,100,Asphalt,KLWT,14384
Li Calzi,2008-04-30 14:24:00,12/30,2774,100,Turf or Grass,N50,14385
Liberty Hill IntL,2008-04-30 14:24:00,18/36,2001,40,Turf or Grass,TS29,14386
Licenciado Benito Juarez Intl,2008-04-30 14:24:00,05R/23L,12796,148,Asphalt,MMMX,14387
Liddieville,2008-04-30 14:24:00,18/36,2452,65,Asphalt,LS11,14388
Lillooet,2008-04-30 14:24:00,14/32,4059,75,Asphalt,AR3,14389
Limnos,2008-04-30 14:24:00,04R/22L,9839,148,Asphalt,LGLM,14390
LINCOLNTON LINCOLN CO RGNL,2008-04-30 14:24:00,05/23,5527,100,Asphalt,KIPJ,14391
Lindley - Private,2008-04-30 14:24:00,36/18,2602,75,Turf or Grass,II35,14392
Lindsey L.S.,2008-04-30 14:24:00,07/25,2001,40,Turf or Grass,OH50,14393
Lisburg,2008-04-30 14:24:00,32/14,2502,75,Turf or Grass,6ND3,14394
LISTA,2008-04-30 14:24:00,14/32,9782,148,Concrete,ENLI,14395
Little Pine,2008-04-30 14:24:00,04/22,2402,100,Turf or Grass,4PN1,14396
LIUTING,2008-04-30 14:24:00,17/35,11207,148,Concrete,ZSQD,14397
Livramento Do Brumado,2008-04-30 14:24:00,06/24,3446,49,Concrete,SNLB,14398
LJUNGBYHED,2008-04-30 14:24:00,12L/30R,2580,82,Asphalt,ESTL,14399
LOCKETT,2008-04-30 14:24:00,15/33,3004,30,Asphalt,29TX,14400
LOGAN CACHE,2008-04-30 14:24:00,05/23,4622,151,Gravel,KLGU,14401
LOGAN FLD,2008-04-30 14:24:00,05/23,3295,75,Asphalt,1A4,14402
LOGOVARDI,2008-04-30 14:24:00,17L/35R,3953,320,Turf or Grass,LW74,14403
LOKICHOGIO,2008-04-30 14:24:00,09/27,6188,62,Asphalt,HKLK,14404
LONDON,2008-04-30 14:24:00,15/33,8795,200,Asphalt,CYXU,14405
LONDON,2008-04-30 14:24:00,09/27,6287,200,Asphalt,CYXU,14406
London City,2008-04-30 14:24:00,10/28,4952,98,Concrete,EGLC,14407
LONDON CORBIN ARPT MAGEE FLD,2008-04-30 14:24:00,06/24,5747,150,Asphalt,KLOZ,14408
London Gatwick,2008-04-30 14:24:00,08L/26R,8374,148,Asphalt,EGKK,14409
London Heathrow,2008-04-30 14:24:00,09L/27R,12806,164,Asphalt,EGLL,14410
London Heathrow,2008-04-30 14:24:00,H1,98,98,Asphalt,EGLL,14411
London Luton,2008-04-30 14:24:00,08/26,7068,151,Asphalt,EGGW,14412
Londonderry Eglinton,2008-04-30 14:24:00,08/26,6056,147,Asphalt,EGAE,14413
Londonderry Eglinton,2008-04-30 14:24:00,02/20,3949,148,Asphalt,EGAE,14414
Lone Mountain International,2008-04-30 14:24:00,18/36,3602,100,Turf or Grass,AZ74,14415
Lone Mountain International,2008-04-30 14:24:00,09/27,1201,100,Turf or Grass,AZ74,14416
Lone Oaks Ranch,2008-04-30 14:24:00,18/36,1701,125,Turf or Grass,5OR9,14417
LONE PINE,2008-04-30 14:24:00,13/31,2401,100,Dirt,O26,14418
Lone Pine Aerodrome,2008-04-30 14:24:00,10/28,1621,50,Turf or Grass,34KY,14419
Lone Star Executive,2008-04-30 14:24:00,01/19,3984,100,Asphalt,KCXO,14420
Lonely As,2008-04-30 14:24:00,07/25,5003,100,Gravel,AK71,14421
Lonely Pines,2008-04-30 14:24:00,13/31,1821,60,Turf or Grass,WS05,14422
Long Alango (MAF),2008-04-30 14:24:00,18/36,1301,49,Turf or Grass,WZ71,14423
Long Banal (Pertamina),2008-04-30 14:24:00,36/18,1215,56,Asphalt,WZ74,14424
Long Bawang/Yuvai Semaring (Local Gov),2008-04-30 14:24:00,04/22,2397,59,Gravel,WRLB,14425
Long Beach,2008-04-30 14:24:00,12/30,10001,200,Asphalt,KLGB,14426
Long Beach,2008-04-30 14:24:00,07R/25L,5412,150,Asphalt,KLGB,14427
Long Beach,2008-04-30 14:24:00,16L/34R,4276,75,Asphalt,KLGB,14428
Long Bia (Pertamina),2008-04-30 14:24:00,12/30,1477,66,Dirt,WZ75,14429
Long Iram (MAF),2008-04-30 14:24:00,18/36,969,52,Turf or Grass,WZ76,14430
Long Island,2008-04-30 14:24:00,05/23,2672,100,Turf or Grass,NC26,14431
Long Island Mac Arthur,2008-04-30 14:24:00,15R/33L,5183,150,Asphalt,KISP,14432
Long Island Mac Arthur,2008-04-30 14:24:00,15L/33R,3173,75,Asphalt,KISP,14433
Long Layu (Pertamina),2008-04-30 14:24:00,01/19,1805,85,Dirt,WZ80,14434
Long Lebusan (Local Gov),2008-04-30 14:24:00,11/29,2602,98,Dirt,WZ81,14435
Long Lees (Local Gov),2008-04-30 14:24:00,18/36,1313,66,Turf or Grass,WZ82,14436
Long Marston,2008-04-30 14:24:00,04/22,1641,148,Asphalt,EG67,14437
Long Seibarang (MAF),2008-04-30 14:24:00,05/23,1181,66,Dirt,WZ88,14438
Long Suleh (Sumber Mas),2008-04-30 14:24:00,02/20,1401,66,Turf or Grass,WZ89,14439
Long Umung (MAF),2008-04-30 14:24:00,06/24,1231,66,Dirt,WZ90,14440
Longbird,2008-04-30 14:24:00,18/36,3502,100,Turf or Grass,93TS,14441
Longbird,2008-04-30 14:24:00,09/27,2552,150,Turf or Grass,93TS,14442
Longbranch,2008-04-30 14:24:00,12/30,2602,60,Turf or Grass,VA08,14443
LONGDONGBAO,2008-04-30 14:24:00,01/19,10538,197,Concrete,ZUGY,14444
Longreach,2008-04-30 14:24:00,09/27,2947,59,Gravel,YLRE,14445
Longs Farm,2008-04-30 14:24:00,09/27,1901,100,Turf or Grass,6TS2,14446
LONGTAN,2008-04-30 14:24:00,04/22,3285,100,Asphalt,RCDI,14447
Longuyon Vilette,2008-04-30 14:24:00,28/10,2955,197,Turf or Grass,LFGS,14448
Longview,2008-04-30 14:24:00,18/36,2201,70,Turf or Grass,IL96,14449
LONGVILLE MUNI,2008-04-30 14:24:00,13/31,3775,75,Asphalt,KXVG,14450
Longwood Mfg Corp,2008-04-30 14:24:00,36/18,2402,100,Turf or Grass,1MO4,14451
LONNIE POOL FLD WEAVERVILLE,2008-04-30 14:24:00,18/36,2982,50,Asphalt,O54,14452
Loon Lake,2008-04-30 14:24:00,10/28,2402,200,Turf or Grass,CJW3,14453
LOON RIVER,2008-04-30 14:24:00,13/31,5889,100,Asphalt,CFS6,14454
Lop Buri Khok Kathiam,2008-04-30 14:24:00,16/34,7282,148,Asphalt,VTBL,14455
Lop Buri Khok Kathiam,2008-04-30 14:24:00,10/28,604,64,Asphalt,VTBL,14456
Lop Buri Sa Pran Nak,2008-04-30 14:24:00,06/24,3873,98,Asphalt,VTBH,14457
Lop Buri Sa Pran Nak,2008-04-30 14:24:00,01/19,3342,98,Asphalt,VTBH,14458
Lopez Ranch,2008-04-30 14:24:00,06/24,1801,100,Turf or Grass,8T3,14459
LORDSBURG MUNI,2008-04-30 14:24:00,01/19,3220,50,Dirt,KLSB,14460
Lorenz,2008-04-30 14:24:00,17/35,2602,90,Turf or Grass,MN11,14461
LORETO INTL,2008-04-30 14:24:00,16/34,7289,148,Asphalt,MMLT,14462
Lorient Lann Bihoue,2008-04-30 14:24:00,02/20,5478,148,Concrete,LFRH,14463
LORING INTL,2008-04-30 14:24:00,01/19,12100,300,Asphalt,ME16,14464
Los Alamitos AAF,2008-04-30 14:24:00,04R/22L,7995,200,Asphalt,KSLI,14465
Los Alamitos AAF,2008-04-30 14:24:00,04L/22R,5908,150,Asphalt,KSLI,14466
LOS ALAMOS,2008-04-30 14:24:00,09/27,5536,113,Asphalt,KLAM,14467
Los Angeles Intl,2008-04-30 14:24:00,06R/24L,10263,150,Concrete,KLAX,14468
Los Angeles Intl,2008-04-30 14:24:00,07R/25L,11072,200,Concrete,KLAX,14469
LOS CABOS INTL,2008-04-30 14:24:00,16/34,9853,148,Asphalt,MMSD,14470
Los Ebanos Ranch,2008-04-30 14:24:00,04/22,2001,100,Turf or Grass,6TA9,14471
Los Martinez del Puerto,2008-04-30 14:24:00,14/32,3006,85,Turf or Grass,LEMP,14472
LOSSIEMOUTH,2008-04-30 14:24:00,05/23,9068,150,Asphalt,EGQS,14473
Lost Creek,2008-04-30 14:24:00,05/23,2201,100,Turf or Grass,5Y4,14474
Lost Horn Ranch,2008-04-30 14:24:00,12/30,2111,61,Turf or Grass,26X,14475
Lost Mountain,2008-04-30 14:24:00,02/20,2652,50,Turf or Grass,WV06,14476
Lost River 1,2008-04-30 14:24:00,18/36,3652,100,Gravel,LSR,14477
Lou Abbett Farms,2008-04-30 14:24:00,18/36,2542,70,Turf or Grass,II18,14478
Loudun,2008-04-30 14:24:00,09/27,2594,197,Turf or Grass,LFDL,14479
Louis Armstrong New Orleans Intl,2008-04-30 14:24:00,10/28,10087,150,Asphalt,KMSY,14480
Louis Armstrong New Orleans Intl,2008-04-30 14:24:00,06/24,3574,150,Asphalt,KMSY,14481
LOUISA CO FREEMAN FLD,2008-04-30 14:24:00,09/27,4291,100,Asphalt,KLKU,14482
Louises Strip,2008-04-30 14:24:00,03/21,2301,50,Turf or Grass,40MO,14483
LOUISEVILLE,2008-04-30 14:24:00,09/27,2918,75,Asphalt,CSJ4,14484
Louisville Intl Standiford Fld,2008-04-30 14:24:00,17R/35L,10866,150,Concrete,KSDF,14485
Louisville Intl Standiford Fld,2008-04-30 14:24:00,11/29,7236,150,Concrete,KSDF,14486
LOUP CITY MUNI,2008-04-30 14:24:00,15/33,3201,50,Asphalt,0F4,14487
LOVELL FLD,2008-04-30 14:24:00,15/33,5003,150,Asphalt,KCHA,14488
Low Pass,2008-04-30 14:24:00,36/18,2602,50,Turf or Grass,4OK4,14489
LOWCOUNTRY RGNL,2008-04-30 14:24:00,05/23,6004,100,Asphalt,KRBW,14490
LOWCOUNTRY RGNL,2008-04-30 14:24:00,17/35,5718,100,Asphalt,KRBW,14491
Lowell City,2008-04-30 14:24:00,15/33,1941,100,Turf or Grass,24C,14492
Lowell City,2008-04-30 14:24:00,06/24,1663,85,Turf or Grass,24C,14493
Lowell Field,2008-04-30 14:24:00,09/27,1601,60,Turf or Grass,9GA5,14494
Lowells Landing,2008-04-30 14:24:00,18/36,861,50,Turf or Grass,75II,14495
Lower Creek,2008-04-30 14:24:00,05/23,3202,150,Turf or Grass,NC27,14496
Lower Forty,2008-04-30 14:24:00,03/21,1801,100,Turf or Grass,16OK,14497
Lower Granite State,2008-04-30 14:24:00,14/32,3402,50,Gravel,0WA0,14498
Lowrance,2008-04-30 14:24:00,36/18,4003,100,Turf or Grass,64M,14499
Lowrance Ranch,2008-04-30 14:24:00,17/35,2161,50,Turf or Grass,26TX,14500
Lowry Field,2008-04-30 14:24:00,18/36,1801,50,Turf or Grass,7II8,14501
Loxton,2008-04-30 14:24:00,17/35,2802,100,Dirt,YLOX,14502
LOZUVATKA INTL,2008-04-30 14:24:00,18/36,8147,138,Concrete,UKDR,14503
Leme,2008-04-30 14:24:00,08/26,3610,52,Concrete,SDLL,14504
LEMOORE NAS,2008-04-30 14:24:00,14L/32R,13517,200,Concrete,KNLC,14505
Lenora Municipal,2008-04-30 14:24:00,17/35,2285,260,Turf or Grass,SN03,14506
Leo E. Goetz County,2008-04-30 14:24:00,15/33,2602,60,Asphalt,Y96,14507
Leonora,2008-04-30 14:24:00,04/22,6629,98,Asphalt,YLEO,14508
Lereh (DGAC),2008-04-30 14:24:00,12/30,1969,98,Turf or Grass,WAJL,14509
LEVELLAND MUNI,2008-04-30 14:24:00,08/26,2068,55,Asphalt,KLLN,14510
Lewis University,2008-04-30 14:24:00,09/27,5682,75,Asphalt,KLOT,14511
LEXINGTON COUNTY AT PELION,2008-04-30 14:24:00,18/36,4344,60,Asphalt,6J0,14512
Lightning Ridge,2008-04-30 14:24:00,10/28,4616,59,Asphalt,YLRD,14513
LILABARI,2008-04-30 14:24:00,04/22,7505,150,Asphalt,VELR,14514
Lille Lesquin,2008-04-30 14:24:00,02/20,5251,98,Asphalt,LFQQ,14515
Lime Village,2008-04-30 14:24:00,09/27,1475,60,Gravel,23AK,14516
LIMON INTL,2008-04-30 14:24:00,14/32,5895,98,Asphalt,MRLM,14517
Lincoln Station,2008-04-30 14:24:00,07/25,4903,75,Dirt,NM25,14518
Lindauer,2008-04-30 14:24:00,17/35,1601,70,Turf or Grass,83LL,14519
Lismore,2008-04-30 14:24:00,15/33,2001,100,Turf or Grass,YLSM,14520
Little Deer,2008-04-30 14:24:00,12/30,2682,200,Turf or Grass,27X,14521
